order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount,payment_method
ORD-0000001,2025-09-18,CUST-02305,P0015,107,3,686.25,0.05,UPI
ORD-0000002,2026-07-04,CUST-02309,P0140,102,1,4137.59,0.1,Cash
ORD-0000003,2026-01-29,CUST-02642,P0099,105,2,1995.16,0.5,Credit Card
ORD-0000004,2026-06-21,CUST-02798,P0126,110,1,4902.64,0.15,Net Banking
ORD-0000005,2026-01-10,CUST-00628,P0117,109,4,1196.82,0.05,Credit Card
ORD-0000006,2025-10-21,CUST-01592,P0066,103,1,202.59,0.2,Credit Card
ORD-0000007,2026-04-05,CUST-00175,P0118,107,2,2753.34,0.05,Net Banking
ORD-0000008,2026-06-20,CUST-00513,P0091,104,5,2163.59,0.1,Net Banking
ORD-0000009,2025-11-10,CUST-01819,P0100,108,1,1697.45,0.1,Cash
ORD-0000010,2026-05-27,CUST-00844,P0063,104,2,2885.09,0.5,Cash
ORD-0000011,2026-05-31,CUST-01489,P0119,109,3,3981.18,0.1,Debit Card
ORD-0000012,2025-12-12,CUST-00875,P0101,103,1,2759.86,0.1,Cash
ORD-0000013,2025-11-20,CUST-01689,P0014,104,1,2803.3,0.0,Net Banking
ORD-0000014,2026-07-12,CUST-02120,P0111,103,5,216.79,0.05,Cash
ORD-0000015,2026-06-02,CUST-02733,P0045,105,10,3435.09,0.2,Net Banking
ORD-0000016,2026-03-10,CUST-02356,P0051,103,1,2396.04,0.5,Credit Card
ORD-0000017,2026-07-07,CUST-01994,P0081,110,4,3100.39,0.2,UPI
ORD-0000018,2026-01-30,CUST-02770,P0025,102,1,142.48,0.5,UPI
ORD-0000019,2025-09-23,CUST-01358,P0024,106,4,1847.81,0.2,Credit Card
ORD-0000020,2025-12-12,CUST-01260,P0017,106,2,1645.95,0.5,Net Banking
ORD-0000021,2026-05-30,CUST-01946,P0087,112,1,1585.88,0.2,Credit Card
ORD-0000022,2025-10-06,CUST-00623,P0042,107,1,4560.13,0.1,Cash
ORD-0000023,2026-01-17,CUST-02263,P0121,112,10,3480.82,0.5,UPI
ORD-0000024,2025-12-21,CUST-02720,P0038,108,1,292.95,0.5,Net Banking
ORD-0000025,2025-10-10,CUST-01554,P0123,103,3,2972.26,0.5,Debit Card
ORD-0000026,2026-04-26,CUST-01807,P0150,110,1,4480.54,0.5,Cash
ORD-0000027,2026-08-16,CUST-01409,P0087,102,4,437.56,0.0,Debit Card
ORD-0000028,2025-09-24,CUST-02775,P0101,103,1,4681.64,0.5,Credit Card
ORD-0000029,2026-05-02,CUST-02598,P0083,105,2,4748.93,0.0,Cash
ORD-0000030,2025-08-26,CUST-02027,P0005,110,4,2146.92,0.05,Debit Card
ORD-0000031,2026-01-23,CUST-00787,P0132,105,10,4530.97,0.0,Debit Card
ORD-0000032,2026-03-25,CUST-00684,P0014,111,1,1602.52,0.1,Net Banking
ORD-0000033,2025-12-19,CUST-01383,P0011,105,2,3822.85,0.1,UPI
ORD-0000034,2026-02-06,CUST-01364,P0142,101,1,4893.42,0.15,Cash
ORD-0000035,2026-06-20,,P0078,107,1,2403.59,0.1,Debit Card
ORD-0000036,2026-03-25,CUST-02855,P0097,106,1,2611.66,0.5,Net Banking
ORD-0000037,2025-11-04,CUST-01668,P0088,103,5,3623.67,0.15,Net Banking
ORD-0000038,2025-12-11,CUST-01154,P0069,102,4,4602.0,0.0,Debit Card
ORD-0000039,2026-08-07,CUST-02085,P0030,101,3,4050.51,0.0,UPI
ORD-0000040,2025-12-03,CUST-00726,P0096,102,1,4027.14,0.2,UPI
