product_id,product_name,category,subcategory,brand,cost_price,selling_price
P0001,Srinivasan Porro Smartphone,Electronics,Smartphones,Srinivasan,5945.33,7492.31
P0002,Dasgupta Culpa Footwear,Apparel,Footwear,Dasgupta,864.84,1282.82
P0003,"Mallick, Harum Audio",Electronics,Audio,"Mallick,",302.67,360.83
P0004,"Goyal, Provident Footwear",Apparel,Footwear,"Goyal,",4836.05,6782.85
P0005,Devan Quisquam Skincare,Personal Care,Skincare,Devan,3621.21,4617.72
P0006,"Batra, Quas Laptop",Electronics,Laptops,"Batra,",5600.21,7297.7
P0007,D’Alia Amet Men's Wear,Apparel,Men's Wear,D’Alia,7659.84,9969.03
P0008,Hora Impedit Audio,Electronics,Audio,Hora,818.9,1254.04
P0009,Chaudry-Kapur Sunt Cookware,Home & Kitchen,Cookware,Chaudry-Kapur,5851.37,8141.03
P0010,Ramesh-Chanda Debitis Skincare,Personal Care,Skincare,Ramesh-Chanda,4438.72,6761.2
P0011,"Mane, Culpa Small Appliance",Home & Kitchen,Small Appliances,"Mane,",1578.69,1864.91
P0012,Rajan-Solanki Odit Women's Wear,Apparel,Women's Wear,Rajan-Solanki,7882.51,12098.81
P0013,Peri Rerum Audio,Electronics,Audio,Peri,2259.89,3245.33
P0014,Maharaj Corporis Cookware,Home & Kitchen,Cookware,Maharaj,2992.94,3724.05
P0015,Ramesh Praesentium Small Appliance,Home & Kitchen,Small Appliances,Ramesh,7496.4,10806.93
P0016,Warrior Beatae Footwear,Apparel,Footwear,Warrior,5846.56,7153.45
P0017,Sastry-Banik Nulla Haircare,Personal Care,Haircare,Sastry-Banik,7916.71,11384.23
P0018,Barad Nulla Footwear,Apparel,Footwear,Barad,2628.05,3930.88
P0019,Murthy-Loyal Quisquam Laptop,,Laptops,Murthy-Loyal,6583.33,9955.78
P0020,Gola Neque Haircare,Personal Care,Haircare,Gola,576.2,899.4
P0021,Chandra Iure Cookware,Home & Kitchen,Cookware,Chandra,5260.74,-199.0
P0022,Patel Vitae Skincare,Personal Care,Skincare,Patel,2155.8,2718.43
P0023,Oak-Salvi Ex Small Appliance,Home & Kitchen,Small Appliances,Oak-Salvi,4697.46,7299.95
P0024,Bala-Kant Placeat Haircare,Personal Care,Haircare,Bala-Kant,1793.6,2867.77
P0025,Bhavsar-Oza Dolores Skincare,Personal Care,Skincare,Bhavsar-Oza,6058.47,9314.88
P0026,Rana-Saxena Molestiae Footwear,Apparel,Footwear,Rana-Saxena,1321.86,1924.91
P0027,Koshy Fugiat Audio,Electronics,Audio,Koshy,3083.87,4928.81
P0028,Majumdar-Ramaswamy At Small Appliance,Home & Kitchen,Small Appliances,Majumdar-Ramaswamy,6893.2,7962.79
P0029,"Krishnamurthy, Maxime Accessorie",Electronics,Accessories,"Krishnamurthy,",6160.36,8027.44
P0030,Gill Explicabo Decor,Home & Kitchen,Decor,Gill,1307.35,1505.36
P0031,Shukla Eligendi Small Appliance,Home & Kitchen,Small Appliances,Shukla,6107.6,8419.06
P0032,Pal Voluptatem Accessorie,,Accessories,Pal,6741.27,9292.49
P0033,Sur Similique Men's Wear,Apparel,Men's Wear,Sur,3022.62,3695.75
P0034,"Bhardwaj, Soluta Accessorie",Electronics,Accessories,"Bhardwaj,",3934.42,4722.64
P0035,Prasad-Pillay Quaerat Decor,Home & Kitchen,Decor,Prasad-Pillay,1953.65,2458.46
P0036,"Saini, Consectetur Smartphone",Electronics,Smartphones,"Saini,",5868.67,8904.01
P0037,Mammen-Memon Quos Men's Wear,Apparel,Men's Wear,Mammen-Memon,5295.02,8345.39
P0038,Zachariah-Jayaraman Doloribus Women's Wear,Apparel,Women's Wear,Zachariah-Jayaraman,4245.01,6040.51
P0039,Krishnamurthy-Patel Laudantium Footwear,Apparel,Footwear,Krishnamurthy-Patel,6054.36,8842.03
P0040,"Chana, Eveniet Decor",Home & Kitchen,Decor,"Chana,",7961.44,11483.94
P0041,Naidu Consequatur Fragrance,Personal Care,Fragrances,Naidu,3639.31,4591.2
P0042,Soni Repellat Accessorie,Electronics,Accessories,Soni,217.22,303.95
P0043,Narain-Salvi A Men's Wear,Apparel,Men's Wear,Narain-Salvi,614.4,881.05
P0044,Hegde-Lall Dolor Men's Wear,Apparel,Men's Wear,Hegde-Lall,7248.09,11139.13
P0045,More Atque Laptop,Electronics,Laptops,More,2263.89,3097.99
P0046,"Tripathi, Velit Footwear",Apparel,Footwear,"Tripathi,",7487.34,-199.0
P0047,Natt Accusantium Skincare,Personal Care,Skincare,Natt,6287.72,9515.67
P0048,Edwin-Nagy At Men's Wear,Apparel,Men's Wear,Edwin-Nagy,820.6,1102.86
P0049,"Dasgupta, Soluta Haircare",Personal Care,Haircare,"Dasgupta,",3762.85,5561.81
P0050,"Lata, Velit Smartphone",Electronics,Smartphones,"Lata,",3250.84,4234.82
P0051,Chakraborty Deserunt Laptop,Electronics,Laptops,Chakraborty,1573.14,2188.75
P0052,Wason-Gour Eligendi Women's Wear,Apparel,Women's Wear,Wason-Gour,1508.73,2049.13
P0053,Chandran Voluptatum Audio,Electronics,Audio,Chandran,6473.78,9938.45
